threads,mean_duration,ci_duration
1,0.33291213333333336,0.00569137542915827
2,0.20818053333333336,0.007570417399247327
4,0.14330119999999996,0.006813542175356375
8,0.11892459999999998,0.009785089431284722
16,6.871025733333334,0.03926049708390472
32,6.864223866666667,0.017680440925554403
64,6.863666533333333,0.011288290945170983
128,6.8631606000000005,0.01826311271140373
256,6.860138133333333,0.008418103021870722
512,6.862073399999999,0.004689299651828503
1024,6.866293866666667,0.03317756459475015
2048,0.0817484,0.006887950052827034
