size,file,threads,blocks,duration
4096,Cuda/mandelbrot_cuda,1024,8,9.063399
4096,Cuda/mandelbrot_cuda,1024,8,9.023573
4096,Cuda/mandelbrot_cuda,1024,8,8.981939
4096,Cuda/mandelbrot_cuda,1024,8,9.066961
4096,Cuda/mandelbrot_cuda,1024,8,9.023109
4096,Cuda/mandelbrot_cuda,1024,8,8.937638
4096,Cuda/mandelbrot_cuda,1024,8,9.053579
4096,Cuda/mandelbrot_cuda,1024,8,8.98198
4096,Cuda/mandelbrot_cuda,1024,8,8.934812
4096,Cuda/mandelbrot_cuda,1024,8,8.991557
4096,Cuda/mandelbrot_cuda,1024,8,8.964249
4096,Cuda/mandelbrot_cuda,1024,8,9.08131
4096,Cuda/mandelbrot_cuda,1024,8,9.045049
4096,Cuda/mandelbrot_cuda,1024,8,9.041096
4096,Cuda/mandelbrot_cuda,1024,8,8.775106
4096,Cuda/mandelbrot_cuda,1024,16,3.815216
4096,Cuda/mandelbrot_cuda,1024,16,3.8785
4096,Cuda/mandelbrot_cuda,1024,16,3.81417
4096,Cuda/mandelbrot_cuda,1024,16,3.823639
4096,Cuda/mandelbrot_cuda,1024,16,3.843406
4096,Cuda/mandelbrot_cuda,1024,16,3.823134
4096,Cuda/mandelbrot_cuda,1024,16,3.855046
4096,Cuda/mandelbrot_cuda,1024,16,3.836785
4096,Cuda/mandelbrot_cuda,1024,16,3.836553
4096,Cuda/mandelbrot_cuda,1024,16,3.815262
4096,Cuda/mandelbrot_cuda,1024,16,3.899393
4096,Cuda/mandelbrot_cuda,1024,16,3.858409
4096,Cuda/mandelbrot_cuda,1024,16,3.851125
4096,Cuda/mandelbrot_cuda,1024,16,3.861351
4096,Cuda/mandelbrot_cuda,1024,16,3.85903
4096,Cuda/mandelbrot_cuda,1024,32,2.337023
4096,Cuda/mandelbrot_cuda,1024,32,2.357725
4096,Cuda/mandelbrot_cuda,1024,32,2.345568
4096,Cuda/mandelbrot_cuda,1024,32,2.33117
4096,Cuda/mandelbrot_cuda,1024,32,2.366016
4096,Cuda/mandelbrot_cuda,1024,32,2.349922
4096,Cuda/mandelbrot_cuda,1024,32,2.349398
4096,Cuda/mandelbrot_cuda,1024,32,2.32458
4096,Cuda/mandelbrot_cuda,1024,32,2.331527
4096,Cuda/mandelbrot_cuda,1024,32,2.356657
4096,Cuda/mandelbrot_cuda,1024,32,2.331037
4096,Cuda/mandelbrot_cuda,1024,32,2.334097
4096,Cuda/mandelbrot_cuda,1024,32,2.317855
4096,Cuda/mandelbrot_cuda,1024,32,2.340729
4096,Cuda/mandelbrot_cuda,1024,32,2.353757
4096,Cuda/mandelbrot_cuda,1024,64,2.241122
4096,Cuda/mandelbrot_cuda,1024,64,2.25216
4096,Cuda/mandelbrot_cuda,1024,64,2.23934
4096,Cuda/mandelbrot_cuda,1024,64,2.28128
4096,Cuda/mandelbrot_cuda,1024,64,2.310654
4096,Cuda/mandelbrot_cuda,1024,64,2.246998
4096,Cuda/mandelbrot_cuda,1024,64,2.251884
4096,Cuda/mandelbrot_cuda,1024,64,2.250299
4096,Cuda/mandelbrot_cuda,1024,64,2.242546
4096,Cuda/mandelbrot_cuda,1024,64,2.241204
4096,Cuda/mandelbrot_cuda,1024,64,2.233598
4096,Cuda/mandelbrot_cuda,1024,64,2.2582
4096,Cuda/mandelbrot_cuda,1024,64,2.239745
4096,Cuda/mandelbrot_cuda,1024,64,2.246847
4096,Cuda/mandelbrot_cuda,1024,64,2.234281
