size,file,processes,threads,blocks,duration
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,8,6.869975
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,8,6.864941
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,8,6.864619
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,8,6.86543
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,8,6.874189
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,8,6.977563
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,8,6.948005
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,8,7.043303
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,8,6.979063
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,8,6.861739
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,8,6.867123
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,8,6.865068
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,8,6.87815
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,8,6.864289
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,8,6.860849
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,16,6.869127
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,16,6.864321
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,16,6.862596
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,16,6.865318
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,16,7.007527
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,16,6.979294
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,16,6.865095
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,16,7.046767
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,16,6.956058
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,16,6.884853
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,16,7.069549
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,16,7.005956
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,16,6.860899
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,16,6.874243
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,16,6.86553
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,32,6.858449
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,32,6.869904
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,32,6.863318
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,32,6.864855
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,32,6.863595
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,32,6.864653
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,32,6.868545
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,32,6.863165
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,32,6.861291
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,32,6.856236
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,32,6.862306
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,32,6.87079
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,32,6.862173
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,32,6.85713
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,32,6.863479
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,64,6.863673
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,64,6.861296
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,64,6.860442
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,64,6.861627
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,64,6.859977
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,64,6.854398
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,64,6.868631
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,64,6.864132
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,64,6.869952
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,64,6.860335
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,64,6.863539
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,64,6.863963
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,64,6.860562
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,64,6.859486
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,64,6.861344
