size,file,processes,duration
4096,MPI/mandelbrot_openmpi,1,20.510336
4096,MPI/mandelbrot_openmpi,1,20.553584
4096,MPI/mandelbrot_openmpi,1,20.558469
4096,MPI/mandelbrot_openmpi,1,20.569637
4096,MPI/mandelbrot_openmpi,1,20.714447
4096,MPI/mandelbrot_openmpi,1,20.916391
4096,MPI/mandelbrot_openmpi,1,20.604663
4096,MPI/mandelbrot_openmpi,1,20.64575
4096,MPI/mandelbrot_openmpi,1,20.884
4096,MPI/mandelbrot_openmpi,1,20.679363
4096,MPI/mandelbrot_openmpi,1,20.515605
4096,MPI/mandelbrot_openmpi,1,20.570854
4096,MPI/mandelbrot_openmpi,1,20.647059
4096,MPI/mandelbrot_openmpi,1,20.427888
4096,MPI/mandelbrot_openmpi,1,20.539777
4096,MPI/mandelbrot_openmpi,2,12.259224
4096,MPI/mandelbrot_openmpi,2,12.23649
4096,MPI/mandelbrot_openmpi,2,12.255502
4096,MPI/mandelbrot_openmpi,2,12.257992
4096,MPI/mandelbrot_openmpi,2,12.205172
4096,MPI/mandelbrot_openmpi,2,12.226903
4096,MPI/mandelbrot_openmpi,2,12.275041
4096,MPI/mandelbrot_openmpi,2,12.267683
4096,MPI/mandelbrot_openmpi,2,12.271392
4096,MPI/mandelbrot_openmpi,2,12.250115
4096,MPI/mandelbrot_openmpi,2,12.305045
4096,MPI/mandelbrot_openmpi,2,12.275069
4096,MPI/mandelbrot_openmpi,2,12.234672
4096,MPI/mandelbrot_openmpi,2,12.230247
4096,MPI/mandelbrot_openmpi,2,12.265555
4096,MPI/mandelbrot_openmpi,3,9.16899
4096,MPI/mandelbrot_openmpi,3,9.160809
4096,MPI/mandelbrot_openmpi,3,9.191951
4096,MPI/mandelbrot_openmpi,3,9.163534
4096,MPI/mandelbrot_openmpi,3,9.165387
4096,MPI/mandelbrot_openmpi,3,9.162362
4096,MPI/mandelbrot_openmpi,3,9.177742
4096,MPI/mandelbrot_openmpi,3,9.166701
4096,MPI/mandelbrot_openmpi,3,9.147853
4096,MPI/mandelbrot_openmpi,3,9.16003
4096,MPI/mandelbrot_openmpi,3,9.17019
4096,MPI/mandelbrot_openmpi,3,9.16397
4096,MPI/mandelbrot_openmpi,3,9.180281
4096,MPI/mandelbrot_openmpi,3,9.164298
4096,MPI/mandelbrot_openmpi,3,9.173336
4096,MPI/mandelbrot_openmpi,4,7.567829
4096,MPI/mandelbrot_openmpi,4,7.601332
4096,MPI/mandelbrot_openmpi,4,7.556186
4096,MPI/mandelbrot_openmpi,4,7.564439
4096,MPI/mandelbrot_openmpi,4,7.5751
4096,MPI/mandelbrot_openmpi,4,7.535336
4096,MPI/mandelbrot_openmpi,4,7.573188
4096,MPI/mandelbrot_openmpi,4,7.574781
4096,MPI/mandelbrot_openmpi,4,7.551498
4096,MPI/mandelbrot_openmpi,4,7.534866
4096,MPI/mandelbrot_openmpi,4,7.561039
4096,MPI/mandelbrot_openmpi,4,7.532392
4096,MPI/mandelbrot_openmpi,4,7.57718
4096,MPI/mandelbrot_openmpi,4,7.532164
4096,MPI/mandelbrot_openmpi,4,7.579637
4096,MPI/mandelbrot_openmpi,5,6.661807
4096,MPI/mandelbrot_openmpi,5,6.594153
4096,MPI/mandelbrot_openmpi,5,6.631446
4096,MPI/mandelbrot_openmpi,5,6.599098
4096,MPI/mandelbrot_openmpi,5,6.671042
4096,MPI/mandelbrot_openmpi,5,6.600534
4096,MPI/mandelbrot_openmpi,5,6.652969
4096,MPI/mandelbrot_openmpi,5,6.624095
4096,MPI/mandelbrot_openmpi,5,6.654411
4096,MPI/mandelbrot_openmpi,5,6.587638
4096,MPI/mandelbrot_openmpi,5,6.610578
4096,MPI/mandelbrot_openmpi,5,6.591135
4096,MPI/mandelbrot_openmpi,5,6.576685
4096,MPI/mandelbrot_openmpi,5,6.644073
4096,MPI/mandelbrot_openmpi,5,6.643448
