size,f,threads,estimate,duration
100000000,0,1,3.1413271962332594,3.422259
100000000,0,1,3.1421950485930967,4.458098
100000000,0,1,Inf,6.948743
100000000,0,1,3.141636860426678,3.819444
100000000,0,1,3.1411192288083627,3.701016
100000000,0,2,3.140570813445449,3.177283
100000000,0,2,3.1415843045618956,3.490926
100000000,0,2,3.14173363174447,3.5568
100000000,0,2,3.141872481352183,3.438845
100000000,0,2,3.141871520339573,3.26229
100000000,0,4,3.14117995637709,3.181284
100000000,0,4,3.1414735939538327,3.219581
100000000,0,4,3.142309195138687,3.260803
100000000,0,4,3.1412618299492334,3.15656
100000000,0,4,3.14119162981154,3.24471
100000000,0,8,3.1410300321793168,3.064376
100000000,0,8,3.141524040163861,3.582304
100000000,0,8,3.142037640005096,3.571559
100000000,0,8,3.1419790842935655,3.432264
100000000,0,8,3.142048248574456,3.179239
100000000,0,16,3.1420433157474417,3.137575
100000000,0,16,3.141379302294841,3.119774
100000000,0,16,3.1409080696971596,3.841734
100000000,0,16,3.1414541449006,3.266589
100000000,0,16,3.14136798016821,3.687865
100000000,0,32,3.141238610400277,3.736003
100000000,0,32,3.142386940444629,3.340705
100000000,0,32,3.1416205562481267,3.607753
100000000,0,32,3.1423231132352867,3.579018
100000000,0,32,3.1413431611367684,3.284395
100000000,0,64,3.1413944350595333,3.122774
100000000,0,64,Inf,3.368666
100000000,0,64,3.1424913264213856,3.360534
100000000,0,64,3.141864876410123,3.596888
100000000,0,64,3.140586451150895,3.030349
100000000,0,128,3.1420432625775905,2.974483
100000000,0,128,3.140791568912955,3.18714
100000000,0,128,3.1413173685736466,3.213376
100000000,0,128,Inf,3.054339
100000000,0,128,3.1412625285965796,3.352245
100000000,0,256,3.141775645264734,3.13528
100000000,0,256,3.1417995116794697,3.48837
100000000,0,256,3.1418400084140954,3.666318
100000000,0,256,3.1414882749644173,3.513266
100000000,0,256,3.1418801874124145,3.666851
